Grapheme	FREQUENCY	IPA	UNICODE
a	624	a	U+0061
u	388	u	U+0075
ŋ	328	ŋ	U+014b
o	305	o	U+006f
=	301	+	U+003d
n	288	n	U+006e
1	273	¹/	U+0031
t	257	t	U+0074
3	250	³/	U+0033
e	244	e	U+0065
i	220	i	U+0069
p	206	p	U+0070
35	177	³⁵	U+0033 U+0035
5	167	⁵/	U+0035
33	159	³³	U+0033 U+0033
ɔ	158	ɔ	U+0254
k	153	k	U+006b
22	138	²²	U+0032 U+0032
31	137	³¹	U+0033 U+0031
2	133	²/	U+0032
i̯	127	j	U+0069 U+032f
l	126	l	U+006c
m	122	m	U+006d
q	118	q	U+0071
53	110	⁵³	U+0035 U+0033
y	106	j	U+0079
ǝ	104	ǝ	U+01dd
4	86	⁴/	U+0034
44	86	⁴⁴	U+0034 U+0034
6	83	⁶/	U+0036
-	78	+	U+002d
55	78	⁵⁵	U+0035 U+0035
h	52	h	U+0068
ɕ	50	tɕ	U+0255
13	46	¹³	U+0031 U+0033
ɛ	41	ɛ	U+025b
au		a u	
ŋ̥ŋ		ŋ ŋ̊	
kɦ		kʰ	
tɦ		tʰ	
pɦ		pʰ	
lɦ		lʱ	
nɦ		nʱ
mɦ		mʱ	
yɦ		jʱ	
ɕɦ		tɕʰ	
vɦ		vʱ	
qɦ		qʰ	
ŋɦ		ŋʱ	
ɲɦ		ɲʱ	
ɲʰ		ɲʱ	
ɯ	41	ɯ	U+026f
ƛ	41	tɬ	U+019b
ɦ	36	ɦ	U+0266
ɲ	35	ɲ	U+0272
w	33	w	U+0077
u̯	28	w	U+0075 U+032f
=ɕ	28	+ tɕ	U+003d U+0255
c	26	ts	U+0063
l̥	26	l̥	U+006c U+0325
n̥	25	n̥	U+006e U+0325
ʉ	24	ʉ	U+0289
ɑ	24	ɑ	U+0251
7	24	⁷/	U+0037
f	23	f	U+0066
ɔ̃	23	ɔ̃	U+0254 U+0303
ɤ	23	ɤ	U+0264
ʑ	22	ʑ	U+0291
v	22	v	U+0076
8	21	⁸/	U+0038
̃	20	NULL	U+0303
qʰ	19	qʰ	U+0071 U+02b0
d	19	d	U+0064
č	18	tʃ	U+010d
ʆ	18	ɕ	U+0286
ŋ̩	17	ŋ̩	U+014b U+0329
kʰ	16	kʰ	U+006b U+02b0
kw	16	k w	U+006b U+0077
cʰ	15	tsʰ	U+0063 U+02b0
s	15	s	U+0073
õ	15	õ	U+00f5
ɳ	14	ɳ	U+0273
ɣ	14	ɣ	U+0263
tʰ	12	tʰ	U+0074 U+02b0
θ	12	θ	U+03b8
ʋ	11	ʋ	U+028b
ɬ	11	ɬ	U+026c
ɒ	11	ɒ	U+0252
ǯ	10	dʒ	U+01ef
21	10	²¹	U+0032 U+0031
ɲ̥	9	ɲ̥	U+0272 U+0325
=s	9	+ s	U+003d U+0073
c̢	9	tʂ	U+0063 U+0322
ɛ̃	9	ɛ̃	U+025b U+0303
m̥	9	m̥	U+006d U+0325
pʰ	9	pʰ	U+0070 U+02b0
ž	8	ʒ	U+017e
ʼd	8	ˀd	U+02bc U+0064
ɨ	8	ɨ	U+0268
ɹ	7	ɹ	U+0279
ʈ	7	ʈ	U+0288
ʔ	7	ʔ	U+0294
x	7	x	U+0078
b	6	b	U+0062
ı	6	i	U+0131
43	6	⁴³	U+0034 U+0033
=ʑ	6	→ ʑ	U+003d U+0291
ü	6	y	U+00fc
11	6	¹¹	U+0031 U+0031
ʐ	5	ʐ	U+0290
ã	5	ã	U+00e3
ɲɕ	5	ɲ tɕ	U+0272 U+0255
ä	5	æ	U+00e4
š	5	ʃ	U+0161
ö	5	œ	U+00f6
čʰ	5	tʃʰ	U+010d U+02b0
n̥ʰ	5	n̥ʰ	U+006e U+0325 U+02b0
ŋ̥	4	ŋ̥	U+014b U+0325
=h	4	→ h	U+003d U+0068
c̢ʰ	4	ʈʂʰ	U+0063 U+0322 U+02b0
ɲɕʰ	4	ɲ tɕʰ	U+0272 U+0255 U+02b0
sʰ	4	sʰ	U+0073 U+02b0
32	4	³²	U+0033 U+0032
ð	4	ð	U+00f0
g	3	g	U+0067
ɴ	3	ɴ	U+0274
m̩	3	m̥	U+006d U+0329
ʃʰ	3	ɕʰ	U+0283 U+02b0
ʂ	3	ʂ	U+0282
m̥ʰ	3	m̥ʰ	U+006d U+0325 U+02b0
ʓ	3	dʑ	U+0293
ʒ	3	dz	U+0292
ɦw	2	ɦw	U+0266 U+0077
_	2	_	U+005f
=ʃ	2	→ ɕ	U+003d U+0283
lw	2	l w	U+006c U+0077
=sʰ	2	→ sʰ	U+003d U+0073 U+02b0
ᶚ	2	ɖʐ	U+1d9a
ɭ	2	ɭ	U+026d
ɤ̃	2	ɤ̃	U+0264 U+0303
nɕʰ	2	n tɕʰ	U+006e U+0255 U+02b0
l̥ʰ	2	l̥ʰ	U+006c U+0325 U+02b0
ʎ	2	ʎ	U+028e
	2	NULL	U+e0de
#	2	+	U+0023
=ɕʰ	2	→ tɕʰ	U+003d U+0255 U+02b0
nɕ	2	n tɕ	U+006e U+0255
qw	2	q w	U+0071 U+0077
lʰ	2	lʰ	U+006c U+02b0
ʃ	2	ɕ	U+0283
ɕʰ	2	tɕʰ	U+0255 U+02b0
ẽ	2	ẽ	U+1ebd
n̩	2	n̩	U+006e U+0329
ɲ̥ɕʰ	1	ɲ̥ tɕʰ	U+0272 U+0325 U+0255 U+02b0
ʎ̥ʰ	1	ʎ̥ʰ	U+028e U+0325 U+02b0
ɭ̥ʰ	1	ɭ̥ʰ	U+026d U+0325 U+02b0
fʰ	1	fʰ	U+0066 U+02b0
gw	1	g w	U+0067 U+0077
=ɕh	1	→ tɕʰ	U+003d U+0255 U+0068
ʆʰ	1	ɕ	U+0286 U+02b0
ɲ̌	1	ɲ̌	U+0272 U+030c
ɲ̥ʰ	1	ɲ̥ʰ	U+0272 U+0325 U+02b0
v̥	1	v̥	U+0076 U+0325
=ʐ	1	→ ʐ	U+003d U+0290
j	1	j	U+006a
=ʒ	1	→ dz	U+003d U+0292
ŋ̮	1	ŋ̮	U+014b U+032e
z	1	z	U+007a
dʰ	1	dʱ	U+0064 U+02b0
ɲ̥ɕ	1	ɲ̥ tɕ	U+0272 U+0325 U+0255
ɕa2=ʼda1	1	tɕ a ² → ˀd a ¹	U+003d U+02bc
ɢ	1	ɢ	U+0262
hw	1	w̥	U+0068 U+0077
