ID	DOCULECT	CONCEPT	CONCEPT_ID	GLOTTOLOG	WORD_IS	SEGMENTS_IS	SEGMENTS	COG	COGID
580	Western Xiangxi	I	42	nort2748	we4	w e 4	w e ⁴/	42-1	127
581	Eastern Xiangxi	I	42	east2371	we55	w e 55	w e ⁵⁵	42-1	127
582	Qiandong	I	42	east2369	vi4	v i 4	v i ⁴/	42-1	127
583	Chuanqiandian	I	42	nort3244	ko3	k o 3	k o ³/	42-2	128
584	Diandongbei	I	42	larg1235	ku3	k u 3	k u ³/	42-2	128
585	Hmong Daw	I	42	hmon1333	ku3	k u 3	k u ³/	42-2	128
586	Hmong Njua	I	42	hmon1264	ku2	k u 2	k u ²/	42-2	128
587	Bunu	I	42	buna1273	ɕuŋ3	ɕ u ŋ 3	tɕ u ŋ ³/	42-3	129
588	Baonao	I	42	buna1273	kou3	k o u 3	k o u ³/	42-2	128
589	Numao	I	42	numa1251	ɕuŋ3	ɕ u ŋ 3	tɕ u ŋ ³/	42-3	129
590	Longhua Jiongnai	I	42	jion1236	va31	v a 31	v a ³¹	42-1	127
591	Liuxiang Jiongnai	I	42	jion1236	wa53	w a 53	w a ⁵³	42-1	127
592	Xiaozhai Younuo	I	42	youn1235	vɔ22	v ɔ 22	v ɔ ²²	42-1	127
593	Huangluo Younuo	I	42	youn1235	vɔ22	v ɔ 22	v ɔ ²²	42-1	127
594	Northern Pa-Hng	I	42	pahn1237	vaŋ22	v a ŋ 22	v a ŋ ²²	42-1	127
595	Southern Pa-Hng	I	42	pahn1237	vɦɔ̃31	vɦ ɔ̃ 31	vʱ ɔ̃ ³¹	42-1	127
596	Hm-Nai	I	42	wuna1248	waŋ22	w a ŋ 22	w a ŋ ²²	42-1	127
1	Western Xiangxi	all	1	nort2748	sa5	s a 5	s a ⁵/	1-1	1
2	Eastern Xiangxi	all	1	east2371	xa31	x a 31	x a ³¹	1-3	3
3	Qiandong	all	1	east2369	sɛ4	s ɛ 4	s ɛ ⁴/	1-1	1
4	Chuanqiandian	all	1	nort3244	tǝu1	t ǝ u 1	t ǝ u ¹/	1-2	2
5	Diandongbei	all	1	larg1235	tu5	t u 5	t u ⁵/	1-2	2
6	Hmong Daw	all	1	hmon1333	hu3	h u 3	h u ³/	1-3	3
7	Hmong Njua	all	1	hmon1264	cɨ6	c ɨ 6	ts ɨ ⁶/	1-4	4
8	Bunu	all	1	buna1273	tu5	t u 5	t u ⁵/	1-2	2
9	Baonao	all	1	buna1273	kou5	k o u 5	k o u ⁵/	1-5	5
10	Numao	all	1	numa1251	tey4	t e y 4	t e j ⁴/	1-6	6
11	Longhua Jiongnai	all	1	jion1236	tu44	t u 44	t u ⁴⁴	1-2	2
12	Liuxiang Jiongnai	all	1	jion1236	tu44	t u 44	t u ⁴⁴	1-2	2
13	Xiaozhai Younuo	all	1	youn1235	tou33	t o u 33	t o u ³³	1-2	2
14	Huangluo Younuo	all	1	youn1235	tu33	t u 33	t u ³³	1-2	2
15	Northern Pa-Hng	all	1	pahn1237	tɔ33	t ɔ 33	t ɔ ³³	1-2	2
16	Southern Pa-Hng	all	1	pahn1237	tɦɔ33	tɦ ɔ 33	tʰ ɔ ³³	1-2	2
17	Hm-Nai	all	1	wuna1248	ki̯ei55	k i̯ e i 55	k j e i ⁵⁵	1-7	7
18	Western Xiangxi	ashes	2	nort2748	ʆi3	ʆ i 3	ɕ i ³/	2-1	61
19	Eastern Xiangxi	ashes	2	east2371	pʰi55	pʰ i 55	pʰ i ⁵⁵	2-2	62
20	Qiandong	ashes	2	east2369	ʆʰu3	ʆʰ u 3	ɕ u ³/	2-1	61
21	Chuanqiandian	ashes	2	nort3244	c̢ʰǝu3	c̢ʰ ǝ u 3	ʈʂʰ ǝ u ³/	2-1	61
